HUNDRED,ON,FROM,TO,COUNCIL,CONDI- TION_IN- DEX,POTHOLES,DITCHES,PAVING PROGRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3300,BOWMAN ST,BARCLAY ST,VAUX ST,4,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3500,BOWMAN ST,CONRAD ST,CRESSON ST,4,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3400,BOWMAN ST,VAUX ST,CONRAD ST,4,100,2,3,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,BRANDYWINE ST,N 13TH ST,N BROAD ST,5,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7400,BRIAR RD,E TULPEHOCKEN ST,75TH AVE,9,100,2,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7400,BRIAR RD,74TH AVE,E TULPEHOCKEN ST,9,100,6,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7300,BRIAR RD,WOOSTER RD,74TH AVE,9,100,0,2,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7200,BRIAR RD,E WALNUT LN,WOOSTER RD,9,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7500,BRIAR RD,75TH AVE,E WASHINGTON LN,9,100,3,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7700,BUIST AVE,S 77TH ST,S 78TH ST,2,100,4,3,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7800,BUIST AVE,S 78TH ST,S 80TH ST,2,100,4,4,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8000,BUIST AVE,S 80TH ST,APOLLO PLZ,2,100,1,4,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
